Name,Tool,Weight
B_Dumbbell_7,Dumbbell,7
B_Dumbbell_10,Dumbbell,0
B_Dumbbell_14,Dumbbell,4
B_Dumbbell_20,Dumbbell,0
B_Dumbbell_23,Dumbbell,3
B_Dumbbell_27,Dumbbell,7
Dumbbell_Incline_Bench_Row_7,Dumbbell,7
Dumbbell_Incline_Bench_Row_10,Dumbbell,0
Dumbbell_Incline_Bench_Row_14,Dumbbell,4
Dumbbell_Incline_Bench_Row_20,Dumbbell,0
Dumbbell_Incline_Bench_Row_23,Dumbbell,3
Dumbbell_Incline_Bench_Row_27,Dumbbell,7
Incline_Hammer_Curl_7,Dumbbell,7
Incline_Hammer_Curl_10,Dumbbell,0
Incline_Hammer_Curl_14,Dumbbell,4
Incline_Hammer_Curl_20,Dumbbell,0
Incline_Hammer_Curl_7,Dumbbell,7
Incline_Hammer_Curl_10,Dumbbell,0
Incline_Hammer_Curl_14,Dumbbell,4
Incline_Hammer_Curl_20,Dumbbell,0
Alternating_Incline_Hammer_Curl_7,Dumbbell,7
Alternating_Incline_Hammer_Curl_10,Dumbbell,0
Alternating_Incline_Hammer_Curl_14,Dumbbell,4
Alternating_Incline_Hammer_Curl_20,Dumbbell,0
Dumbbell_Pullover_7,Dumbbell,7
Dumbbell_Pullover_10,Dumbbell,0
Dumbbell_Pullover_14,Dumbbell,4
Dumbbell_Pullover_20,Dumbbell,0
Dumbbell_Pullover_23,Dumbbell,3
Dumbbell_Pullover_27,Dumbbell,7
Dumbbell_Flat_Bench_Press_7,Dumbbell,7
Dumbbell_Flat_Bench_Press_10,Dumbbell,0
Dumbbell_Flat_Bench_Press_14,Dumbbell,4
Dumbbell_Flat_Bench_Press_20,Dumbbell,0
Dumbbell_Flat_Bench_Press_23,Dumbbell,3
Dumbbell_Flat_Bench_Press_27,Dumbbell,7
Pullup_3,Chain_Weight,3
Pullup_5,Chain_Weight,5
Dip_3,Chain_Weight,3
Dip_5,Chain_Weight,5
Front_Pullup_3,Chain_Weight,3
Front_Pullup_5,Chain_Weight,5
